Year,Author,Title,Url
"2003","Magnenat-Thalmann N.","Journal of Visualization and Computer Science: Editorial",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=21644444568&origin=inward
"1988","Amman H.","Computer Science in Economics and Management: A New Discipline!",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34250093910&origin=inward
"1989","Glass R.","Editor's corner. How can computer science truly become a science, and software engineering truly become engineering?",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=50849147861&origin=inward
"1993","Judson P.","Erratum: Structural similarity searching using descriptors developed for structure-activity relationship studies (Journal of Chemical Information and Computer Sciences (1992) 32, (657-663))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751158539&origin=inward
"2008","","Journal of Computer Science and Technology: Preface",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84864180982&origin=inward
"2001","O'Leary D.","The interface between computer science and the mathematical sciences",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0035336952&origin=inward
"1993","Judson P.","Erratum: Rule induction for systems predicting biological activity (Journal of Chemical Information and Computer Sciences (1994) 34, (148-153))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751157500&origin=inward
"2005","Xu Y.","Journal of Computer Science and Technology: Preface",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=32944461399&origin=inward
"2007","Varma R.","Erratum: "Importance of gender homophily in the computer science classroom (IEEE Technology and Society Magazine (2007))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=34748906032&origin=inward
"1979","Salton G.","CITATION STUDY OF COMPUTER SCIENCE LITERATURE.",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0018519568&origin=inward
"1987","Solomentsev Y.","Design technology, computer science, and CIM implementation",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=0022963777&origin=inward
"2005","Xu Z.","Journal of Computer Science and Technology: Preface",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=18544366282&origin=inward
"1993","Takahashi Y.","Erratum: Automatic extraction of ring substructures from a chemical structure (Journal of Chemical Information and Computer Sciences (1994) 34, (167-170))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751158849&origin=inward
"2014","Li M.","Preface: Special issue on computer science and ducation",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84897622714&origin=inward
"2006","","Information and Communication Technology (ICT) and right Computer science in justice: The telematics process",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=37849188488&origin=inward
"2013","","Erratum: (IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences 11 (2308))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84889029350&origin=inward
"2015","Uno Y.","Special section on foundations of computer science - New spirits in theory of computation and algorithm",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84923867175&origin=inward
"1985","Martin J.","Computer science education today: A dialogue",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84910843234&origin=inward
"1993","John P.","Erratum: Calculating the cell polynomial of catacondensed polycyclic hydrocarbons (Journal of Chemical Information and Computer Sciences (1994) 34, (357-360))",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33751158239&origin=inward
"1975","Bucher D.","Maintenance of the computer sciences teleprocessing system",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976811571&origin=inward
